run_id,backbone,method,transfer,target,shots,fold,GAL,SPDP
7ibv2m18,bptransformer,prompt_global,ppgbp,bcg,10,0,26.533931732177734,24.672504425048828
7ibv2m18,bptransformer,prompt_global,ppgbp,bcg,10,1,29.84337615966797,19.254844665527344
7ibv2m18,bptransformer,prompt_global,ppgbp,bcg,10,2,18.946863174438477,13.885602951049805
7ibv2m18,bptransformer,prompt_global,ppgbp,bcg,10,3,25.22480010986328,16.974706649780273
7ibv2m18,bptransformer,prompt_global,ppgbp,bcg,10,4,26.870052337646484,16.782161712646484
7oxypcgl,mlpbp,original,vital_ecg,mimic_ecg,10,0,40.78728103637695,33.52391052246094
7oxypcgl,mlpbp,original,vital_ecg,mimic_ecg,10,1,38.68954849243164,40.00386047363281
7oxypcgl,mlpbp,original,vital_ecg,mimic_ecg,10,2,41.18803405761719,35.69853973388672
7oxypcgl,mlpbp,original,vital_ecg,mimic_ecg,10,3,43.56282806396485,50.55655670166016
7oxypcgl,mlpbp,original,vital_ecg,mimic_ecg,10,4,43.45425796508789,52.81781768798828
8syvxjhz,spectroresnet,original,bcg,ppgbp,10,0,36.19571685791016,26.593158721923828
8syvxjhz,spectroresnet,original,bcg,ppgbp,10,1,26.496856689453125,24.13129425048828
8syvxjhz,spectroresnet,original,bcg,ppgbp,10,2,36.73891067504883,26.438623428344727
8syvxjhz,spectroresnet,original,bcg,ppgbp,10,3,29.445039749145508,26.51071548461914
8syvxjhz,spectroresnet,original,bcg,ppgbp,10,4,32.847694396972656,24.01055908203125
gdai1pkl,bptransformer,prompt_global,bcg,ppgbp,10,0,36.01994705200195,26.080631256103516
gdai1pkl,bptransformer,prompt_global,bcg,ppgbp,10,1,26.572235107421875,24.21621322631836
gdai1pkl,bptransformer,prompt_global,bcg,ppgbp,10,2,34.54145431518555,26.00229263305664
gdai1pkl,bptransformer,prompt_global,bcg,ppgbp,10,3,29.098865509033203,26.18865203857422
gdai1pkl,bptransformer,prompt_global,bcg,ppgbp,10,4,33.49562454223633,23.62142562866211
gn7qkb33,mlpbp,original,ppgbp,bcg,10,0,26.743709564208984,24.938060760498047
gn7qkb33,mlpbp,original,ppgbp,bcg,10,1,30.36870574951172,19.46591567993164
gn7qkb33,mlpbp,original,ppgbp,bcg,10,2,27.173545837402344,19.81722068786621
gn7qkb33,mlpbp,original,ppgbp,bcg,10,3,25.77217483520508,17.65127182006836
gn7qkb33,mlpbp,original,ppgbp,bcg,10,4,26.509540557861328,16.41879653930664
ix0a36yw,bptransformer,original,ppgbp,bcg,10,0,25.75693130493164,23.742029190063477
ix0a36yw,bptransformer,original,ppgbp,bcg,10,1,29.92686462402344,18.619783401489254
ix0a36yw,bptransformer,original,ppgbp,bcg,10,2,18.28694725036621,14.02149486541748
ix0a36yw,bptransformer,original,ppgbp,bcg,10,3,25.032855987548828,16.770065307617188
ix0a36yw,bptransformer,original,ppgbp,bcg,10,4,27.97115135192871,19.87519645690918
kbjlnlpz,bptransformer,prompt_global,ppgbp,sensors,10,0,31.718852996826172,25.36329460144043
kbjlnlpz,bptransformer,prompt_global,ppgbp,sensors,10,1,36.13607025146485,25.79050064086914
kbjlnlpz,bptransformer,prompt_global,ppgbp,sensors,10,2,33.0322151184082,30.044782638549805
kbjlnlpz,bptransformer,prompt_global,ppgbp,sensors,10,3,31.416828155517575,35.69369125366211
kbjlnlpz,bptransformer,prompt_global,ppgbp,sensors,10,4,29.588726043701172,25.227493286132812
m4zt45xg,resnet1d,original,mimic_ecg,vital_ecg,10,0,40.2103157043457,35.770328521728516
m4zt45xg,resnet1d,original,mimic_ecg,vital_ecg,10,1,36.30104446411133,49.28538513183594
m4zt45xg,resnet1d,original,mimic_ecg,vital_ecg,10,2,35.84267044067383,34.906982421875
m4zt45xg,resnet1d,original,mimic_ecg,vital_ecg,10,3,38.541839599609375,41.27061080932617
m4zt45xg,resnet1d,original,mimic_ecg,vital_ecg,10,4,39.216064453125,41.26711654663086
w0r7m9mh,bptransformer,prompt_global,bcg,sensors,10,0,30.329442977905273,28.036243438720703
w0r7m9mh,bptransformer,prompt_global,bcg,sensors,10,1,29.71276092529297,26.781082153320312
w0r7m9mh,bptransformer,prompt_global,bcg,sensors,10,2,30.555320739746097,30.17447280883789
w0r7m9mh,bptransformer,prompt_global,bcg,sensors,10,3,31.573223114013672,29.50189208984375
w0r7m9mh,bptransformer,prompt_global,bcg,sensors,10,4,30.04561424255371,25.977317810058594
webyf32s,spectroresnet,original,sensors,bcg,10,0,31.077495574951172,29.667993545532227
webyf32s,spectroresnet,original,sensors,bcg,10,1,29.76117897033691,19.767494201660156
webyf32s,spectroresnet,original,sensors,bcg,10,2,25.398460388183594,18.25515365600586
webyf32s,spectroresnet,original,sensors,bcg,10,3,24.27218246459961,15.959088325500488
webyf32s,spectroresnet,original,sensors,bcg,10,4,26.9388370513916,16.587848663330078
wfskoi2r,resnet1d,original,ppgbp,bcg,10,0,30.85655212402344,29.051284790039062
wfskoi2r,resnet1d,original,ppgbp,bcg,10,1,30.110088348388672,20.347562789916992
wfskoi2r,resnet1d,original,ppgbp,bcg,10,2,20.741247177124023,15.551263809204102
wfskoi2r,resnet1d,original,ppgbp,bcg,10,3,26.591846466064453,17.83740997314453
wfskoi2r,resnet1d,original,ppgbp,bcg,10,4,29.21600341796875,19.269506454467773
xztkqkfo,mlpbp,original,bcg,sensors,10,0,30.186891555786133,27.73296356201172
xztkqkfo,mlpbp,original,bcg,sensors,10,1,30.27307891845703,29.0841064453125
xztkqkfo,mlpbp,original,bcg,sensors,10,2,32.022979736328125,30.929828643798828
xztkqkfo,mlpbp,original,bcg,sensors,10,3,31.652652740478516,31.589786529541016
xztkqkfo,mlpbp,original,bcg,sensors,10,4,29.71407699584961,26.894193649291992
yvnynqhm,bptransformer,original,mimic_ecg,vital_ecg,10,0,41.52012252807617,40.236324310302734
yvnynqhm,bptransformer,original,mimic_ecg,vital_ecg,10,1,31.909622192382812,41.35751724243164
yvnynqhm,bptransformer,original,mimic_ecg,vital_ecg,10,2,34.01607131958008,29.82091903686523
yvnynqhm,bptransformer,original,mimic_ecg,vital_ecg,10,3,44.904083251953125,42.00931167602539
yvnynqhm,bptransformer,original,mimic_ecg,vital_ecg,10,4,36.62422180175781,38.49223709106445
2lfsz5k6,bptransformer,prompt_global,vital_ecg,mimic_ecg,10,0,40.87324142456055,40.507816314697266
2lfsz5k6,bptransformer,prompt_global,vital_ecg,mimic_ecg,10,1,37.54924774169922,40.568809509277344
2lfsz5k6,bptransformer,prompt_global,vital_ecg,mimic_ecg,10,2,39.476585388183594,36.482666015625
2lfsz5k6,bptransformer,prompt_global,vital_ecg,mimic_ecg,10,3,42.744171142578125,51.75948715209961
2lfsz5k6,bptransformer,prompt_global,vital_ecg,mimic_ecg,10,4,43.03616714477539,42.966094970703125
51q6ilbd,spectroresnet,original,ppgbp,bcg,10,0,26.493431091308594,24.524829864501953
51q6ilbd,spectroresnet,original,ppgbp,bcg,10,1,30.07854461669922,19.365238189697266
51q6ilbd,spectroresnet,original,ppgbp,bcg,10,2,26.0650577545166,18.81192398071289
51q6ilbd,spectroresnet,original,ppgbp,bcg,10,3,24.834997177124023,16.550954818725586
51q6ilbd,spectroresnet,original,ppgbp,bcg,10,4,26.803417205810547,16.462806701660156
6oqxwp6d,mlpbp,original,sensors,ppgbp,10,0,36.23564910888672,26.22171211242676
6oqxwp6d,mlpbp,original,sensors,ppgbp,10,1,27.007827758789062,24.714889526367188
6oqxwp6d,mlpbp,original,sensors,ppgbp,10,2,33.36330795288086,25.600421905517575
6oqxwp6d,mlpbp,original,sensors,ppgbp,10,3,29.582550048828125,26.625003814697266
6oqxwp6d,mlpbp,original,sensors,ppgbp,10,4,33.18134307861328,23.19195556640625
6q9tubb2,mlpbp,original,sensors,bcg,10,0,28.388099670410156,26.801116943359375
6q9tubb2,mlpbp,original,sensors,bcg,10,1,30.08922576904297,21.05545997619629
6q9tubb2,mlpbp,original,sensors,bcg,10,2,21.788265228271484,16.589357376098633
6q9tubb2,mlpbp,original,sensors,bcg,10,3,23.05657196044922,15.105920791625977
6q9tubb2,mlpbp,original,sensors,bcg,10,4,26.39262962341309,16.285972595214844
7uq30iti,spectroresnet,original,bcg,sensors,10,0,30.697093963623047,28.516948699951172
7uq30iti,spectroresnet,original,bcg,sensors,10,1,30.308847427368164,26.306583404541016
7uq30iti,spectroresnet,original,bcg,sensors,10,2,30.39388084411621,30.047344207763672
7uq30iti,spectroresnet,original,bcg,sensors,10,3,30.56494140625,32.68974304199219
7uq30iti,spectroresnet,original,bcg,sensors,10,4,29.558704376220703,26.04569625854492
a1q4xb2e,spectroresnet,original,vital_ecg,mimic_ecg,10,0,39.67535781860352,37.687156677246094
a1q4xb2e,spectroresnet,original,vital_ecg,mimic_ecg,10,1,37.084190368652344,43.475074768066406
a1q4xb2e,spectroresnet,original,vital_ecg,mimic_ecg,10,2,39.4387321472168,40.18028259277344
a1q4xb2e,spectroresnet,original,vital_ecg,mimic_ecg,10,3,42.477333068847656,55.88294982910156
a1q4xb2e,spectroresnet,original,vital_ecg,mimic_ecg,10,4,42.72462463378906,50.447845458984375
a3dd6j07,bptransformer,original,sensors,bcg,10,0,28.89423370361328,27.361495971679688
a3dd6j07,bptransformer,original,sensors,bcg,10,1,29.715078353881836,19.444290161132812
a3dd6j07,bptransformer,original,sensors,bcg,10,2,20.50515365600586,15.517202377319336
a3dd6j07,bptransformer,original,sensors,bcg,10,3,24.317800521850582,16.041397094726562
a3dd6j07,bptransformer,original,sensors,bcg,10,4,26.712203979492188,16.4658260345459
b5wim5y0,bptransformer,original,bcg,ppgbp,10,0,36.13760757446289,26.016511917114254
b5wim5y0,bptransformer,original,bcg,ppgbp,10,1,26.656021118164062,24.251449584960938
b5wim5y0,bptransformer,original,bcg,ppgbp,10,2,34.621620178222656,25.803285598754883
b5wim5y0,bptransformer,original,bcg,ppgbp,10,3,29.066665649414062,26.16337013244629
b5wim5y0,bptransformer,original,bcg,ppgbp,10,4,33.64927673339844,23.643409729003903
b9bw83d3,spectroresnet,original,ppgbp,sensors,10,0,30.08695411682129,29.183612823486328
b9bw83d3,spectroresnet,original,ppgbp,sensors,10,1,31.24005126953125,25.70856285095215
b9bw83d3,spectroresnet,original,ppgbp,sensors,10,2,30.82321548461914,29.865856170654297
b9bw83d3,spectroresnet,original,ppgbp,sensors,10,3,30.82283592224121,31.408510208129883
b9bw83d3,spectroresnet,original,ppgbp,sensors,10,4,29.977964401245117,25.334129333496097
bueokmbg,mlpbp,original,ppgbp,sensors,10,0,30.443662643432617,28.840442657470703
bueokmbg,mlpbp,original,ppgbp,sensors,10,1,30.258304595947266,28.42981338500977
bueokmbg,mlpbp,original,ppgbp,sensors,10,2,31.15826416015625,29.213130950927734
bueokmbg,mlpbp,original,ppgbp,sensors,10,3,30.73199462890625,30.939359664916992
bueokmbg,mlpbp,original,ppgbp,sensors,10,4,29.94976234436035,26.643434524536133
bwooh99f,resnet1d,original,bcg,ppgbp,10,0,36.32560348510742,28.467859268188477
bwooh99f,resnet1d,original,bcg,ppgbp,10,1,30.551334381103516,27.091548919677734
bwooh99f,resnet1d,original,bcg,ppgbp,10,2,36.113792419433594,28.22234344482422
bwooh99f,resnet1d,original,bcg,ppgbp,10,3,29.46479606628418,26.810728073120117
bwooh99f,resnet1d,original,bcg,ppgbp,10,4,33.5361328125,25.274402618408203
bx5a0fs6,resnet1d,original,sensors,ppgbp,10,0,36.35834884643555,27.17403984069824
bx5a0fs6,resnet1d,original,sensors,ppgbp,10,1,27.349090576171875,25.11001968383789
bx5a0fs6,resnet1d,original,sensors,ppgbp,10,2,37.27714157104492,26.321823120117188
bx5a0fs6,resnet1d,original,sensors,ppgbp,10,3,30.238426208496097,27.34810256958008
bx5a0fs6,resnet1d,original,sensors,ppgbp,10,4,33.87541198730469,24.4416446685791
cwiibh6x,resnet1d,original,ppgbp,sensors,10,0,30.080123901367188,28.554786682128903
cwiibh6x,resnet1d,original,ppgbp,sensors,10,1,29.81203269958496,26.150936126708984
cwiibh6x,resnet1d,original,ppgbp,sensors,10,2,31.70301055908203,32.368492126464844
cwiibh6x,resnet1d,original,ppgbp,sensors,10,3,30.94108772277832,31.33207321166992
cwiibh6x,resnet1d,original,ppgbp,sensors,10,4,30.476665496826172,25.505714416503903
dq2d4ht9,mlpbp,original,bcg,ppgbp,10,0,35.9007568359375,26.703060150146484
dq2d4ht9,mlpbp,original,bcg,ppgbp,10,1,27.448238372802734,24.602947235107425
dq2d4ht9,mlpbp,original,bcg,ppgbp,10,2,33.748802185058594,25.63128662109375
dq2d4ht9,mlpbp,original,bcg,ppgbp,10,3,29.33144187927246,26.389907836914062
dq2d4ht9,mlpbp,original,bcg,ppgbp,10,4,32.939292907714844,24.270782470703125
epmwpjxc,bptransformer,prompt_global,mimic_ecg,vital_ecg,10,0,37.304588317871094,33.319610595703125
epmwpjxc,bptransformer,prompt_global,mimic_ecg,vital_ecg,10,1,29.438316345214844,36.86489486694336
epmwpjxc,bptransformer,prompt_global,mimic_ecg,vital_ecg,10,2,33.21677017211914,34.55414581298828
epmwpjxc,bptransformer,prompt_global,mimic_ecg,vital_ecg,10,3,42.23775100708008,40.43422317504883
epmwpjxc,bptransformer,prompt_global,mimic_ecg,vital_ecg,10,4,34.2255859375,36.37947463989258
i9udg2g1,resnet1d,original,sensors,bcg,10,0,28.54357147216797,26.52892303466797
i9udg2g1,resnet1d,original,sensors,bcg,10,1,30.404029846191406,21.21568298339844
i9udg2g1,resnet1d,original,sensors,bcg,10,2,23.243186950683594,16.465970993041992
i9udg2g1,resnet1d,original,sensors,bcg,10,3,22.6005802154541,14.79456615447998
i9udg2g1,resnet1d,original,sensors,bcg,10,4,27.29353141784668,16.347267150878906
jag2wp21,bptransformer,original,ppgbp,sensors,10,0,34.36607360839844,27.92458152770996
jag2wp21,bptransformer,original,ppgbp,sensors,10,1,36.31938934326172,28.291175842285156
jag2wp21,bptransformer,original,ppgbp,sensors,10,2,31.697555541992188,32.32014465332031
jag2wp21,bptransformer,original,ppgbp,sensors,10,3,31.33443069458008,31.052839279174805
jag2wp21,bptransformer,original,ppgbp,sensors,10,4,30.62901306152344,26.703811645507812
jd8cx928,bptransformer,original,sensors,ppgbp,10,0,35.908973693847656,26.378761291503903
jd8cx928,bptransformer,original,sensors,ppgbp,10,1,26.33061981201172,24.11576271057129
jd8cx928,bptransformer,original,sensors,ppgbp,10,2,35.59040451049805,25.686622619628903
jd8cx928,bptransformer,original,sensors,ppgbp,10,3,30.13723945617676,27.141090393066406
jd8cx928,bptransformer,original,sensors,ppgbp,10,4,32.857608795166016,23.706443786621097
njgw1har,bptransformer,prompt_global,sensors,ppgbp,10,0,35.97224426269531,26.715667724609375
njgw1har,bptransformer,prompt_global,sensors,ppgbp,10,1,25.989303588867188,24.075756072998047
njgw1har,bptransformer,prompt_global,sensors,ppgbp,10,2,36.13153839111328,25.945762634277344
njgw1har,bptransformer,prompt_global,sensors,ppgbp,10,3,29.076526641845703,26.16989517211914
njgw1har,bptransformer,prompt_global,sensors,ppgbp,10,4,33.33195495605469,23.15604782104492
p9tu6656,resnet1d,original,bcg,sensors,10,0,30.41939163208008,31.847694396972656
p9tu6656,resnet1d,original,bcg,sensors,10,1,29.752460479736328,29.231441497802734
p9tu6656,resnet1d,original,bcg,sensors,10,2,31.31836700439453,33.974151611328125
p9tu6656,resnet1d,original,bcg,sensors,10,3,30.8695068359375,32.44963073730469
p9tu6656,resnet1d,original,bcg,sensors,10,4,29.804351806640625,26.693254470825195
qw5z98y4,bptransformer,prompt_global,sensors,bcg,10,0,29.657245635986328,27.71393585205078
qw5z98y4,bptransformer,prompt_global,sensors,bcg,10,1,29.73003196716309,19.746612548828125
qw5z98y4,bptransformer,prompt_global,sensors,bcg,10,2,20.65807723999023,15.522010803222656
qw5z98y4,bptransformer,prompt_global,sensors,bcg,10,3,23.46512031555176,15.511743545532228
qw5z98y4,bptransformer,prompt_global,sensors,bcg,10,4,26.83953857421875,16.567211151123047
rbq1pwel,spectroresnet,original,mimic_ecg,vital_ecg,10,0,42.381805419921875,38.782569885253906
rbq1pwel,spectroresnet,original,mimic_ecg,vital_ecg,10,1,32.73509216308594,42.943233489990234
rbq1pwel,spectroresnet,original,mimic_ecg,vital_ecg,10,2,34.742889404296875,36.318267822265625
rbq1pwel,spectroresnet,original,mimic_ecg,vital_ecg,10,3,40.7155876159668,42.27137756347656
rbq1pwel,spectroresnet,original,mimic_ecg,vital_ecg,10,4,36.028709411621094,37.24688720703125
tfl99q02,bptransformer,original,bcg,sensors,10,0,30.26366424560547,28.649555206298828
tfl99q02,bptransformer,original,bcg,sensors,10,1,29.86058235168457,28.019166946411133
tfl99q02,bptransformer,original,bcg,sensors,10,2,30.74340057373047,30.887245178222656
tfl99q02,bptransformer,original,bcg,sensors,10,3,30.690452575683594,31.299510955810547
tfl99q02,bptransformer,original,bcg,sensors,10,4,30.03326416015625,26.178970336914062
w7v9qgss,spectroresnet,original,sensors,ppgbp,10,0,35.88533020019531,26.452363967895508
w7v9qgss,spectroresnet,original,sensors,ppgbp,10,1,26.35162353515625,24.10608291625977
w7v9qgss,spectroresnet,original,sensors,ppgbp,10,2,34.75588607788086,25.552526473999023
w7v9qgss,spectroresnet,original,sensors,ppgbp,10,3,29.227439880371097,26.296119689941406
w7v9qgss,spectroresnet,original,sensors,ppgbp,10,4,32.815223693847656,23.86633682250977
yzqu31yn,resnet1d,original,vital_ecg,mimic_ecg,10,0,43.44049835205078,44.42222595214844
yzqu31yn,resnet1d,original,vital_ecg,mimic_ecg,10,1,38.63893508911133,45.383056640625
yzqu31yn,resnet1d,original,vital_ecg,mimic_ecg,10,2,39.98406219482422,39.70995330810547
yzqu31yn,resnet1d,original,vital_ecg,mimic_ecg,10,3,43.59201431274414,53.57749938964844
yzqu31yn,resnet1d,original,vital_ecg,mimic_ecg,10,4,41.540794372558594,53.19349670410156
zc6pcpm3,bptransformer,original,vital_ecg,mimic_ecg,10,0,42.44462585449219,43.56018829345703
zc6pcpm3,bptransformer,original,vital_ecg,mimic_ecg,10,1,37.52452087402344,40.2140007019043
zc6pcpm3,bptransformer,original,vital_ecg,mimic_ecg,10,2,39.87051773071289,36.03253936767578
zc6pcpm3,bptransformer,original,vital_ecg,mimic_ecg,10,3,42.658931732177734,52.24633026123047
zc6pcpm3,bptransformer,original,vital_ecg,mimic_ecg,10,4,42.788291931152344,44.25579071044922
bhw1evt3,mlpbp,original,mimic_ecg,vital_ecg,10,0,40.7314338684082,39.36557388305664
bhw1evt3,mlpbp,original,mimic_ecg,vital_ecg,10,1,29.69242477416992,36.1031608581543
bhw1evt3,mlpbp,original,mimic_ecg,vital_ecg,10,2,34.7923469543457,37.324989318847656
